DisplayName;Romanesco
Culture;it-it
Dialect;rm
1;text;pippetto
2;text;luddù
3;text;er bacio
4;text;la bara
5;text;la mano
6;text;la befana
7;text;er padre
8;text;l’occhiali
9;text;le commari
10;text;pasta e ceci
11;text;i zeppetti
12;text;la dozzina
13;text;la fortuna
14;text;san Valentino
15;text;i belli
16;text;se dice ma nun se fa
17;text;la desgrazzia
18;text;er sangue
19;text;mbriacò
20;text;la festa
21;text;la primavera
22;text;le carrozzelle
23;text;bucio de’ culo
24;text;la vigilia
25;text;Natale
26;text;S. Stefano
27;text;co’ l’innocenti so’ finite le feste e li quattrini
28;text;er prete
29;text;pozzi cascà
30;text;spigni che c’entra
31;text;ogni giorno ne capita uno
32;text;er pesciarolo
33;text;l’anni de Cristo
34;text;la coccia
35;text;gabbia de matti
36;text;er ballo
37;text;er frate
38;text;la battilonda
39;text;er cappio ar collo
40;text;la gallina canta
41;text;er cortello
42;text;er caffè
43;text;le campanelle
44;text;le ricottelle
45;text;er vino bono
46;text;i sordi
47;text;morto che parla
48;text;oggi li conto e domani te li porto
49;text;la ciccia
50;text;mezzo quintale
51;text;er giardino
52;text;tu’ madre
53;text;er vecchio
54;text;er cappello
55;text;le spie der colle
56;text;colui che cade rotolando
57;text;er gobbo
58;text;Zi’ Checca
59;text;i peli
60;text;la madonna
61;text;er cacciatore
62;text;l’ammazzato
63;text;la sposa
64;text;er vestito bono
65;text;er piagnone
66;text;le du’ zitelle
67;text;la chitarra
68;text;la contestazione
69;text;su e giù
70;text;nessuno la picchia
71;text;Peppulitto
72;text;la morra
73;text;l’ospedale
74;text;la grotta
75;text;la purce
76;text;la fontana
77;text;le gambe delle vecchie
78;text;er quadretto
79;text;er ladro
80;text;la pelosa
81;text;i fiori
82;text;er pranzo
83;text;er tempaccio
84;text;la Chiesa
85;text;le anime der purgatorio
86;text;la bottega
87;text;i pidocchi
88;text;l’occhialoni
89;text;la vecchia
90;text;la paura